price,area,quan,phuong,latitude,longitude,may_lanh,tu_lanh,gio_tu_do,wc_rieng,ban_cong,co_bep,cho_de_xe,gan_sieu_thi,gan_quan_an,gan_truong_hoc
4309000,24.4,Quận 8,Phường 6,10.739306,106.6562,0,0,1,0,1,0,1,0,0,0
7908000,45,Thành phố Thủ Đức,Phường Bình Thọ,10.848434,106.7663,1,0,1,0,1,0,1,1,1,0
4290000,29.6,Quận 12,Phường Thới An,10.86917,106.649414,1,0,1,0,1,0,1,1,1,0
8936000,32.1,Quận Bình Thạnh,Phường 25,10.803953,106.718025,0,0,0,0,1,0,1,0,0,0
8865000,32.1,Quận Bình Thạnh,Phường 25,10.802469,106.71143,0,0,1,0,1,0,0,0,0,0
11437000,34.7,Quận Phú Nhuận,Phường 15,10.795194,106.67973,1,1,1,1,1,1,0,0,0,0
7950000,37.3,Quận Tân Phú,Phường Sơn Kỳ,10.808338,106.61817,0,0,1,1,1,0,1,1,0,1
8096000,37.3,Quận Tân Phú,Phường Phú Thọ Hòa,10.78342,106.624916,1,0,0,0,0,1,0,0,0,0
4017000,29.6,Quận 12,Phường Trung Mỹ Tây,10.853655,106.60974,1,1,0,0,0,1,0,0,0,1
6563000,43.7,Huyện Nhà Bè,Xã Phước Kiển,10.69601,106.704796,1,1,0,0,0,1,0,0,0,1
8699000,45,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A,10.842883,106.798454,1,0,1,1,1,0,0,1,0,1
5452000,33.4,Quận Gò Vấp,Phường 6,10.842452,106.67952,0,0,1,0,1,0,1,0,0,0
10482000,32.1,Quận Bình Thạnh,Phường 26,10.810255,106.7123,1,0,1,1,0,0,0,0,0,0
8080000,45,Thành phố Thủ Đức,Phường Linh Trung,10.856666,106.76534,0,0,1,0,1,0,0,0,0,0
5028000,42.4,Huyện Hóc Môn,Xã Trung Chánh,10.861372,106.611244,1,1,1,0,1,1,0,0,0,1
7727000,18,Quận 3,Phường 11,10.786949,106.66465,1,0,1,0,1,1,0,0,0,0
8141000,37.3,Quận Tân Phú,Phường Phú Thạnh,10.772731,106.62452,1,0,1,0,0,1,0,0,0,0
9816000,32.1,Quận Bình Thạnh,Phường 25,10.802271,106.71938,1,0,0,0,1,0,0,0,0,0
8190000,37.3,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,0,1,0,0,1,0,0,0,0
9989000,32.1,Quận Bình Thạnh,Phường 27,10.817441,106.719734,1,0,1,1,1,1,0,0,0,0
8749000,32.1,Quận Bình Thạnh,Phường 26,10.811762,106.71092,0,0,0,0,1,0,1,0,0,0
4633000,33.4,Quận Gò Vấp,Phường 8,10.84255,106.65591,0,0,1,0,0,0,1,0,0,0
9501000,36,Quận Tân Bình,Phường 13,10.802163,106.64508,1,0,1,0,0,0,1,0,1,0
8957000,36,Quận Tân Bình,Phường 13,10.805112,106.63957,1,0,1,0,1,1,0,1,1,0
9120000,32.1,Quận Bình Thạnh,Phường 26,10.80783,106.70933,1,0,1,0,0,0,0,0,0,0
5232000,39.9,Huyện Bình Chánh,Xã Phong Phú,10.7104025,106.641174,0,0,1,0,0,0,0,0,0,1
5509000,33.4,Quận Gò Vấp,Phường 17,10.842118,106.67632,1,0,1,0,1,0,0,1,0,1
7077000,37.3,Quận Tân Phú,Phường Tân Thành,10.786532,106.6367,1,0,1,0,1,1,0,0,0,0
2700000,27,Quận 10,Phường 12,10.775498,106.67632,1,0,1,0,0,0,0,0,0,1
3700000,27,Quận 10,Phường 14,10.767127,106.65912,0,0,1,1,1,1,1,0,0,0
5413000,33.4,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,1,0,0,0,0,0
6372000,23.1,Quận 7,Phường Tân Phú,10.737949,106.721596,0,0,1,1,1,0,0,0,0,0
8796000,36,Quận Tân Bình,Phường 9,10.783646,106.65438,1,0,0,0,0,0,1,1,0,0
10388000,32.1,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,0,0,1,0,1,0,0,0
5408000,33.4,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,0,0,1,0,0,0,0,1
5295000,33.4,Quận Gò Vấp,Phường 10,10.831404,106.66853,0,0,1,0,1,0,1,0,0,0
8124000,45,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.835623,106.71386,1,0,1,1,1,1,0,0,0,0
5156000,33.4,Quận Gò Vấp,Phường 15,10.851631,106.66523,0,0,1,0,1,0,0,0,0,0
8494000,36,Quận Tân Bình,Phường 2,10.813324,106.665085,0,0,1,0,0,1,0,0,0,0
7942000,45,Thành phố Thủ Đức,Phường Long Trường,10.7986355,106.82374,1,1,0,0,1,0,0,1,0,0
9311000,36,Quận Tân Bình,Phường 2,10.810144,106.66653,1,0,1,0,0,1,1,0,0,1
8989000,36,Quận Tân Bình,Phường 7,10.788349,106.65701,1,1,0,0,1,0,0,0,0,0
4339000,21.9,Quận 6,Phường 12,10.75191,106.63365,1,1,1,1,0,0,1,0,0,0
7042000,18,Quận 3,Phường 11,10.786949,106.66465,1,0,1,0,1,1,0,0,0,0
4569000,33.4,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,1,0,0,1,0,0,1,0,1
9588000,32.1,Quận Bình Thạnh,Phường 26,10.8044,106.7099,1,1,1,0,0,1,1,0,0,0
9831000,32.1,Quận Bình Thạnh,Phường 13,10.824377,106.70332,0,0,1,0,0,0,0,0,0,1
8761000,36,Quận Tân Bình,Phường 13,10.799949,106.64451,1,0,1,0,1,0,1,0,0,0
6853000,37.3,Quận Tân Phú,Phường Phú Thạnh,10.7790985,106.62425,1,1,1,1,1,1,0,1,1,1
4088000,24.4,Quận 8,Phường 7,10.701176,106.623436,1,0,1,1,1,1,0,1,0,1
9174000,36,Quận Tân Bình,Phường 14,10.793693,106.642395,0,0,1,1,0,0,1,0,0,0
4518000,33.4,Quận Gò Vấp,Phường 7,10.831649,106.67961,0,0,1,0,1,1,0,0,0,0
7987000,37.3,Quận Tân Phú,Phường Tân Thành,10.786532,106.6367,1,1,1,0,0,1,0,1,0,0
7562000,18,Quận 3,Phường 11,10.783588,106.67461,1,1,1,0,1,1,0,0,0,0
8397000,45,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.841042,106.71453,0,0,1,0,1,0,0,0,0,0
10393000,32.1,Quận Bình Thạnh,Phường 13,10.835073,106.70322,1,0,1,1,1,1,1,0,0,0
5394000,33.4,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,1,1,0,0,0,0,0,0
4388000,29.6,Quận 12,Phường An Phú Đông,10.831359,106.69259,1,0,1,1,0,1,0,0,0,0
7153000,38.6,Thành phố Thủ Đức,Phường Linh Tây,10.83993,106.73826,1,0,1,1,0,0,1,0,0,1
6486000,23.1,Quận 7,Phường Tân Hưng,10.743049,106.69693,0,0,1,0,1,0,0,0,0,1
6580000,23.1,Quận 7,Phường Bình Thuận,10.741786,106.72275,0,0,1,0,1,1,0,0,0,1
11787000,34.7,Quận Phú Nhuận,Phường 9,10.802517,106.677605,0,0,0,0,1,0,1,0,1,1
8756000,32.1,Quận Bình Thạnh,Phường 17,10.794244,106.7087,0,0,1,0,0,0,1,0,0,0
4903000,33.4,Quận Gò Vấp,Phường 14,10.856016,106.65122,1,0,1,0,1,0,0,0,1,1
9736000,32.1,Quận Bình Thạnh,Phường 27,10.816065,106.71914,1,0,1,0,1,0,1,1,1,1
7033000,37.3,Quận Tân Phú,Phường Phú Thọ Hòa,10.786331,106.627655,1,1,1,1,1,0,0,0,0,0
4884000,33.4,Quận Gò Vấp,Phường 17,10.838614,106.67312,1,0,1,0,0,1,0,0,0,0
8418000,36,Quận Tân Bình,Phường 10,10.779637,106.64737,0,0,1,0,0,1,0,0,0,1
10030000,32.1,Quận Bình Thạnh,Phường 26,10.806782,106.71189,0,0,0,0,1,0,1,0,0,0
7951000,37.3,Quận Tân Phú,Phường Hiệp Tân,10.772731,106.62452,1,1,1,0,1,1,1,0,0,0
8611000,36,Quận Tân Bình,Phường 10,10.779637,106.64737,1,1,1,0,0,1,0,0,0,1
4462000,24.4,Quận 8,Phường 2,10.740142,106.677925,1,0,0,0,0,0,1,0,0,0
10490000,32.1,Quận Bình Thạnh,Phường 17,10.794244,106.7087,1,0,1,0,0,1,1,0,0,0
7905000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.827286,106.720245,0,0,1,0,1,0,1,0,0,1
10454000,32.1,Quận Bình Thạnh,Phường 5,10.815049,106.68783,1,0,1,0,1,1,0,0,0,0
6801000,37.3,Quận Tân Phú,Phường Tân Sơn Nhì,10.793895,106.62877,0,1,1,0,1,1,0,0,0,1
7385000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.843796,106.72714,1,0,1,0,1,0,0,0,0,1
5745000,20.6,Quận 5,Phường 9,10.752478,106.66688,0,0,1,0,1,0,0,0,0,0
4790000,33.4,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,0,0,0,0,1,0,0,1
5000000,27,Quận 10,Phường 13,10.78055,106.66897,0,0,1,0,1,0,0,0,1,0
11815000,34.7,Quận Phú Nhuận,Phường 4,10.80645,106.68088,0,0,1,0,1,0,0,0,0,0
5356000,20.6,Quận 5,Phường 2,10.756908,106.67998,0,1,0,0,0,0,0,0,0,1
8858000,32.1,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,1,0,0,0,1,0,0,1
4812000,33.4,Quận Gò Vấp,Phường 1,10.818331,106.68956,1,0,1,0,1,1,1,1,0,0
5557000,23.1,Quận 7,Phường Tân Kiểng,10.751848,106.71244,1,0,0,1,0,1,0,1,0,0
5515000,23.1,Quận 7,Phường Tân Phong,10.7262,106.6984,1,0,1,0,1,1,1,0,0,1
3795000,24.4,Quận 8,Phường 1,10.74446,106.689064,1,0,1,0,0,0,0,1,0,1
9949000,32.1,Quận Bình Thạnh,Phường 13,10.835073,106.70322,0,0,1,0,1,0,1,0,0,0
7158000,37.3,Quận Tân Phú,Phường Phú Thạnh,10.7790985,106.62425,0,0,1,1,1,0,1,1,0,1
5986000,23.1,Quận 7,Phường Tân Hưng,10.751245,106.69202,1,0,0,1,1,0,0,0,0,0
5704000,23.1,Quận 7,Phường Tân Hưng,10.751245,106.69202,0,0,1,0,0,0,1,0,0,1
10495000,32.1,Quận Bình Thạnh,Phường 13,10.820698,106.702156,0,0,1,0,0,0,1,0,0,0
6066000,23.1,Quận 7,Phường Tân Kiểng,10.750463,106.71505,1,0,0,0,1,0,0,0,0,1
4159000,24.4,Quận 8,Phường 6,10.734088,106.656166,0,0,0,1,0,0,0,0,1,0
7777000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.841253,106.72581,0,0,1,0,1,1,0,0,0,1
6742000,37.3,Quận Tân Phú,Phường Tân Sơn Nhì,10.795454,106.6384,0,0,1,1,1,1,0,0,0,1
7915000,37.3,Quận Tân Phú,Phường Phú Trung,10.775896,106.64097,0,0,1,1,1,0,1,1,0,1
4853000,33.4,Quận Gò Vấp,Phường 5,10.8261385,106.69274,0,0,1,0,0,0,0,0,0,1
11720000,34.7,Quận Phú Nhuận,Phường 9,10.808407,106.67364,1,0,1,1,1,1,0,1,0,0
5464000,33.4,Quận Gò Vấp,Phường 15,10.844375,106.673294,0,0,1,0,1,1,0,1,0,1
8075000,36,Quận Tân Bình,Phường 2,10.813324,106.665085,1,0,1,1,0,1,1,0,0,0
6328000,23.1,Quận 7,Phường Tân Phong,10.7262,106.6984,1,0,1,0,1,1,1,0,0,1
9436000,32.1,Quận Bình Thạnh,Phường 2,10.796152,106.69833,1,0,0,0,1,0,0,0,0,0
5316000,33.4,Quận Gò Vấp,Phường 3,10.821217,106.677795,1,1,1,1,1,1,0,1,1,1
8011000,36,Quận Tân Bình,Phường 14,10.79992,106.64019,0,0,1,0,1,0,1,0,0,1
7951000,45,Thành phố Thủ Đức,Phường Phú Hữu,10.789116,106.8073,1,0,1,0,0,0,1,0,0,0
8710000,32.1,Quận Bình Thạnh,Phường 12,10.8081255,106.70639,0,0,1,0,1,0,1,0,0,0
5159000,33.4,Quận Gò Vấp,Phường 5,10.834881,106.687355,1,1,1,0,1,0,0,0,1,0
6221000,23.1,Quận 7,Phường Bình Thuận,10.741705,106.72976,0,0,0,0,1,0,0,1,1,1
8359000,45,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.832658,106.71398,0,0,1,0,1,0,1,0,0,1
10848000,34.7,Quận Phú Nhuận,Phường 9,10.810502,106.67849,0,0,1,0,1,1,1,0,0,0
4133000,29.6,Quận 12,Phường Trung Mỹ Tây,10.852522,106.62439,0,1,1,0,0,1,0,1,0,1
6977000,37.3,Quận Tân Phú,Phường Tân Quý,10.790068,106.621864,0,0,1,1,1,0,1,1,0,1
8314000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.833995,106.72641,1,0,1,1,1,0,0,0,0,0
10218000,32.1,Quận Bình Thạnh,Phường 14,10.806891,106.69506,0,0,1,0,1,0,1,0,0,1
4859000,33.4,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,1,0,0,0,0,0,0,1
9187000,27,Quận 10,Phường 9,10.766314,106.669106,1,0,1,0,1,0,0,0,0,1
4894000,30.9,Quận Bình Tân,Phường Bình Hưng Hòa,10.809558,106.601166,1,1,1,0,1,0,0,0,0,0
9472000,36,Quận Tân Bình,Phường 2,10.813324,106.665085,0,0,0,0,1,0,1,0,0,0
7565000,45,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.835623,106.71386,0,0,1,0,1,0,1,0,0,0
10141000,34.7,Quận Phú Nhuận,Phường 4,10.810502,106.67849,1,0,1,0,1,1,1,0,0,0
5033000,33.4,Quận Gò Vấp,Phường 17,10.8261385,106.69274,0,0,1,0,0,0,1,0,0,0
9521000,32.1,Quận Bình Thạnh,Phường 2,10.796152,106.69833,0,0,1,0,1,1,1,0,0,0
7650000,37.3,Quận Tân Phú,Phường Tân Thành,10.793849,106.63339,1,0,1,0,1,0,1,1,1,1
10384000,27,Quận 10,Phường 15,10.780046,106.66201,1,0,1,0,1,1,0,1,0,0
9481000,32.1,Quận Bình Thạnh,Phường 25,10.800724,106.72102,0,0,1,0,1,0,1,0,0,1
8688000,32.1,Quận Bình Thạnh,Phường 25,10.802469,106.71143,0,0,0,0,0,0,1,0,0,1
5035000,33.4,Quận Gò Vấp,Phường 8,10.842244,106.65124,1,0,0,0,1,1,0,0,0,0
7737000,45,Thành phố Thủ Đức,Phường Bình Thọ,10.844864,106.769485,1,1,1,0,0,0,0,0,0,0
4581000,33.4,Quận Gò Vấp,Phường 11,10.845288,106.661316,1,1,0,0,0,1,0,0,0,0
7949000,37.3,Quận Tân Phú,Phường Tân Quý,10.790068,106.621864,1,1,1,1,0,1,0,0,1,0
4965000,33.4,Quận Gò Vấp,Phường 12,10.841923,106.64362,0,0,1,0,1,0,0,0,0,0
4066000,21.9,Quận 6,Phường 10,10.742688,106.645226,0,0,1,0,0,0,0,0,0,1
8110000,45,Thành phố Thủ Đức,Phường Linh Trung,10.864332,106.780876,1,1,0,0,1,0,1,0,0,1
6026000,23.1,Quận 7,Phường Tân Hưng,10.747492,106.702194,1,0,0,0,0,0,1,0,0,0
8529000,36,Quận Tân Bình,Phường 10,10.775101,106.6482,0,0,1,0,1,1,0,1,1,0
4098000,29.6,Quận 12,Phường Đông Hưng Thuận,10.843384,106.63061,1,0,1,0,0,0,0,0,0,0
4673000,29.6,Quận 12,Phường Thạnh Lộc,10.866282,106.67992,1,0,1,0,0,0,0,0,0,0
8862000,36,Quận Tân Bình,Phường 4,10.79804,106.65861,1,1,1,0,1,0,0,0,0,0
11450000,34.7,Quận Phú Nhuận,Phường 1,10.799188,106.680275,1,0,1,0,1,1,0,0,0,0
8647000,45,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,10.825581,106.728294,0,1,0,0,1,0,0,0,0,1
8932000,32.1,Quận Bình Thạnh,Phường 12,10.817935,106.698265,1,1,1,0,1,0,0,0,0,0
5439000,33.4,Quận Gò Vấp,Phường 6,10.842352,106.67678,1,0,1,0,1,1,0,0,0,0
4431000,24.4,Quận 8,Phường 5,10.73865,106.6592,0,0,0,1,1,1,1,1,0,1
8896000,45,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A,10.840954,106.79719,0,0,1,0,0,1,1,0,0,1
9325000,36,Quận Tân Bình,Phường 10,10.774889,106.647995,1,0,0,0,1,0,1,0,0,0
7212000,37.3,Quận Tân Phú,Phường Tân Sơn Nhì,10.802295,106.63635,0,0,1,0,1,0,0,0,0,0
7960000,36,Quận Tân Bình,Phường 13,10.807394,106.64035,1,0,1,0,1,1,1,0,0,1
4988000,30.9,Quận Bình Tân,Phường Bình Trị Đông A,10.7823,106.59924,0,0,1,0,0,0,1,0,0,0
7810000,45,Thành phố Thủ Đức,Phường Hiệp Phú,10.848467,106.774895,0,0,1,0,1,0,0,1,0,0
10932000,34.7,Quận Phú Nhuận,Phường 3,10.799478,106.68016,0,0,1,0,1,1,0,0,0,1
5500000,25,Quận 10,Phường 1,10.765432,106.671234,1,0,1,1,1,1,0,0,0,1
6200000,28,Quận 10,Phường 2,10.762111,106.674555,1,1,1,1,0,1,1,1,0,0
4800000,22,Quận 10,Phường 10,10.773456,106.668888,1,0,1,1,0,0,1,0,1,1
7500000,30,Quận 10,Phường 11,10.77789,106.672222,1,1,1,1,1,1,1,1,1,1
5800000,26,Quận 10,Phường 5,10.761234,106.661111,0,0,1,1,1,1,0,0,0,1
